Algorithm,Level,Delta,Number of Communities,Nodes in Largest Community,Community Sizes,Singletons,Modularity,Closeness Centrality,ARI (L1),RI (L1),ARI (L2),RI (L2),Communities
Paris,L1,0.85,2,64,"[64, 21]",0,0.10097173660332792,0.5286310436882777,0.4995936490316954,0.7504201680672269,,,"[[53, 72, 111, 79, 40, 28, 45, 62, 104, 110, 65, 43, 63, 119, 102, 29, 48, 68, 75, 37, 58, 42, 50, 67, 55, 51, 26, 52, 81, 80, 27, 25, 59, 74, 54, 35, 57, 60, 73, 112, 115, 49, 61, 125, 31, 33, 78, 46, 30, 36, 69, 64, 56, 2, 34, 118, 76, 41, 85, 44, 70, 71, 38, 32], [130, 97, 99, 103, 113, 137, 94, 129, 127, 135, 107, 108, 82, 121, 120, 87, 92, 93, 96, 98, 95]]"
Paris,L2,0.85,8,20,"[20, 16, 14, 14, 7, 7, 4, 3]",0,0.22694378837490936,0.7269219892419171,,,0.07410908917041026,0.7994397759103642,"[[53, 72, 111, 79, 40, 28, 45, 62, 104, 110, 65, 43, 63, 119, 102, 29, 48, 68, 75, 37], [58, 42, 50, 67, 55, 51, 26, 52, 81, 80, 27, 25, 59, 74, 54, 35], [57, 60, 73, 112, 115, 49, 61, 125, 31, 33, 78, 46, 30, 36], [69, 64, 56, 2, 34, 118, 76, 41, 85, 44, 70, 71, 38, 32], [121, 120, 87, 92, 107, 108, 82], [113, 137, 94, 97, 130, 99, 103], [95, 96, 93, 98], [127, 129, 135]]"
LFM,L1,0.85,4,64,"[64, 18, 3, 2]",0,0.09889039514686848,0.5657329768701879,0.5256593502493054,0.7633053221288515,,,"[[2, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 78, 79, 80, 81, 85, 102, 104, 110, 111, 112, 115, 118, 119, 125], [96, 97, 130, 99, 98, 103, 137, 107, 108, 113, 82, 87, 120, 121, 92, 93, 94, 95], [129, 127, 135], [137, 113]]"
LFM,L2,0.85,2,64,"[64, 18]",0,0.09671934811860346,0.5473833616386954,,,0.10343450639023527,0.4725490196078431,"[[2, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 78, 79, 80, 81, 85, 102, 104, 110, 111, 112, 115, 118, 119, 125], [96, 97, 98, 99, 130, 103, 137, 107, 108, 113, 82, 87, 120, 121, 92, 93, 94, 95]]"
Girvan-Newman,L1,0.85,4,61,"[61, 21, 2, 1]",1,0.10318889896088898,0.5568517688356047,0.47711493872455424,0.7389355742296919,,,"[[2, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 75, 78, 79, 80, 81, 85, 102, 104, 110, 111, 112, 115, 119, 125], [129, 130, 135, 137, 82, 87, 92, 93, 94, 95, 96, 97, 98, 99, 103, 107, 108, 113, 120, 121, 127], [76, 118], [48]]"
Girvan-Newman,L2,0.85,8,58,"[58, 14, 3, 2, 2, 1, 1, 1]",3,0.0762485046659606,0.6417296114644556,,,0.13942132588203016,0.5761904761904761,"[[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 45, 46, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 75, 78, 79, 80, 81, 85, 102, 104, 111, 112, 115, 119, 125], [96, 97, 130, 99, 98, 103, 82, 87, 120, 121, 92, 93, 94, 95], [135, 129, 127], [137, 113], [107, 108], [2], [44], [110]]"
Infomap,L1,0.85,6,62,"[62, 14, 3, 2, 2, 2]",0,0.10008751036588512,0.623658103479275,0.5182149903332871,0.7593837535014005,,,"[[2, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 75, 78, 79, 80, 81, 85, 102, 104, 110, 111, 112, 115, 119, 125], [82, 87, 92, 93, 94, 95, 96, 97, 98, 99, 103, 120, 121, 130], [127, 129, 135], [76, 118], [107, 108], [113, 137]]"
Infomap,L2,0.85,4,62,"[62, 5, 5, 4]",0,0.06872600415649514,0.6455116132848776,,,0.09774298009880202,0.5142857142857142,"[[2, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 75, 78, 79, 80, 81, 85, 102, 104, 110, 111, 112, 115, 119, 125], [97, 99, 130, 103, 94], [82, 87, 120, 121, 92], [96, 98, 93, 95]]"
Walktrap,L1,0.85,28,21,"[21, 17, 8, 7, 5, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",20,0.13007750475227708,0.8204264746481941,0.0944292621400042,0.5436974789915966,,,"[[28, 29, 35, 37, 42, 43, 45, 50, 53, 54, 58, 62, 68, 72, 74, 75, 79, 102, 104, 111, 119], [31, 32, 33, 36, 49, 57, 59, 60, 61, 63, 64, 69, 73, 78, 112, 115, 125], [25, 26, 27, 51, 52, 55, 67, 81], [2, 30, 34, 41, 46, 56, 80], [38, 44, 70, 71, 85], [87, 120, 121], [40, 65], [93, 96], [48], [76], [82], [92], [94], [95], [97], [98], [99], [103], [107], [108], [110], [113], [118], [127], [129], [130], [135], [137]]"
Walktrap,L2,0.85,9,14,"[14, 12, 8, 6, 5, 5, 5, 2, 1]",1,0.04818790327604403,0.8953608577223536,,,0.059717632421125585,0.7879551820728291,"[[29, 35, 37, 42, 43, 45, 50, 54, 58, 62, 68, 74, 75, 119], [32, 33, 64, 36, 69, 73, 78, 112, 63, 57, 59, 60], [67, 81, 51, 52, 55, 25, 26, 27], [28, 53, 72, 79, 104, 111], [49, 115, 125, 61, 31], [34, 41, 46, 80, 30], [70, 38, 71, 44, 85], [2, 56], [102]]"
