Delta,Number of Nodes,Number of Edges,Transitivity,Singletons Removed,Average Degree,Density,Average Clustering Coefficient,Largest Component Size,Diameter (if connected)
0.1,170,7090,0.7924728691152049,0,83.41176470588235,0.4935607379046293,0.7734510188727937,170,3.0
0.15000000000000002,170,6700,0.795263338627291,0,78.82352941176471,0.466411416637661,0.7721337467285563,170,3.0
0.20000000000000004,170,6300,0.7990067250906838,0,74.11764705882354,0.43856595892794986,0.7728011326786045,170,3.0
0.25000000000000006,170,5909,0.8019001959450816,0,69.51764705882353,0.41134702401670725,0.7713238969136859,170,3.0
0.30000000000000004,170,5537,0.8062839605554437,0,65.14117647058823,0.385450748346676,0.7735183496184581,170,3.0
0.3500000000000001,170,5163,0.8114259924723675,0,60.741176470588236,0.35941524538809605,0.7764819139106482,170,4.0
0.40000000000000013,170,4795,0.8200754395256611,0,56.411764705882355,0.33379742429516185,0.7829991554988027,170,4.0
0.45000000000000007,169,4446,0.8268496328638806,1,52.61538461538461,0.3131868131868132,0.7800042618456433,169,5.0
0.5000000000000001,169,4101,0.8284197033510347,1,48.532544378698226,0.2888841927303466,0.7776317724929885,169,5.0
0.5500000000000002,169,3741,0.8276690945423478,1,44.27218934911242,0.26352493660185966,0.7746762794260394,169,5.0
0.6000000000000002,169,3309,0.8208634897677104,1,39.15976331360947,0.2330938292476754,0.7632276738850963,169,6.0
0.6500000000000001,167,2897,0.8072640165738703,3,34.69461077844311,0.20900367938821152,0.7458949570858096,167,7.0
0.7000000000000002,166,2443,0.7867769222735946,4,29.433734939759034,0.17838627236217597,0.7182167709890773,166,8.0
0.7500000000000002,164,1948,0.7642724107215159,6,23.75609756097561,0.14574292982193626,0.6939977823272682,164,10.0
0.8000000000000002,154,1411,0.7181456894829156,16,18.324675324675326,0.11976911976911978,0.6530666001569612,101,
0.8500000000000002,132,866,0.6545242605274662,38,13.121212121212121,0.10016192458940551,0.5866620549806796,85,
0.9000000000000002,105,394,0.5843878096595972,65,7.504761904761905,0.07216117216117215,0.44541891976985465,57,
0.9500000000000003,42,69,0.5029940119760479,128,3.2857142857142856,0.08013937282229965,0.28356867999725144,23,
