Gene	Level_1	Level_2	Level_3	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17
YBR038w	1	11	116	-1.03506	-1.26889	-0.95155	-0.77617	-0.6342	-0.18324	1.7793	1.77095	1.8127	0.11741	-0.2751	-0.78452	-0.26675	-0.52563	0.61013	0.60178	0.00884
YJL092w	2	24	243	-1.27678	-1.10499	-0.08172	1.00877	1.65858	2.25611	0.55315	-0.11907	-0.70913	-0.71659	-0.71659	-0.23857	0.03032	1.01624	0.05272	-0.66431	-0.94814
YCR084c	3	32	321	-1.57833	0.08352	-0.19077	1.06772	1.34201	0.90638	1.27747	1.09999	-0.77161	-0.73934	-1.01363	-0.90068	0.42234	0.79344	0.51915	-0.91682	-1.40085
YGL255w	5	53	531	-1.37568	-0.68707	-1.05086	-0.59613	-0.27131	0.30036	1.28779	0.58619	0.19642	-0.66109	-1.25874	-1.01189	-0.07643	0.59918	1.31377	2.11931	0.58619
YJL137c	1	11	115	-0.61994	-0.83114	-2.09834	-0.09193	1.59767	1.97783	0.58391	0.98519	-0.09193	-0.66218	-0.87338	-0.74666	-0.00745	0.45719	0.71063	0.18263	-0.4721
YOR274w	5	51	514	1.55805	0.98949	-0.02018	-1.07887	-0.95143	-0.03979	0.92087	1.78351	1.47962	-0.49071	-0.96124	-0.97104	-0.61814	-0.59854	-0.58874	-0.92203	0.50916
YBR104w	5	53	531	-2.14592	0.08034	1.34346	-0.48807	-0.98542	-0.86701	0.73558	0.36454	-0.4486	-0.93016	-0.51965	-0.33018	0.2856	0.47507	1.70661	1.49346	0.23033
YJR112w	5	52	528	-1.60405	-1.49495	-0.14205	1.32723	1.1963	0.52712	-0.00385	-0.8185	-0.5421	-0.7894	-0.88396	-0.09113	0.54167	1.92366	0.94172	0.42529	-0.51301
YCR073c	3	32	321	-1.74076	-1.08277	-0.22231	-0.34041	0.01389	2.25783	2.35906	0.16574	-0.34041	-0.18857	-0.22231	-0.39103	-0.2898	-0.27292	0.19948	0.4863	-0.39103
YDR389w	3	32	321	-0.69146	0.02136	-1.0277	-1.65983	0.2231	1.82359	1.21837	-0.18038	-0.34178	-0.81251	-0.09968	-0.82596	-1.09495	1.29906	0.55934	1.46046	0.12896
